order_code,shop,kho_ban,kenh_ban_hang,ngay_dat_hang,so_luong,ten_san_pham,gia_tri_thuoc_tinh_1,gia_san_pham,ma_san_pham
585693139534579632,Nước Giặt Xả Blue,Kho Hà Nội,tiktokshop,2026-08-23T22:13:59+07:00,1,"[TOP BÁN CHẠY] Nước Giặt Xả Hàn Quốc Cao Cấp Blue 2.1L - Nước Giặt Siêu Đậm Đặc Tiết Kiệm - Hương Thơm Nước Hoa & Thảo Mộc Nhẹ Nhàng Lưu Hương 48H, An Toàn Cho Da","Túi Nước Hoa , 1 Túi  2,1L",139000,SPO108770644982
585693149536749285,CLEVY VIỆT NAM,Miền Nam - Kho mặc định,tiktokshop,2026-08-23T22:12:23+07:00,1,"Móc Treo Đa Năng Xoay 360° 6 Nhánh, Treo Đồ Lót, Khăn, Mũ Lưỡi Trai Và Phụ Kiện - MT01",2 cái (Ngẫu nhiên màu),29280,SKU_MT_2
2608235QED370T,Blue Việt Nam,Kho Hà Nội,shopee,2026-08-23T22:09:38+07:00,1,"Nước giặt xả Blue Đậm đặc Hương Thảo mộc túi 2,1L",Default Title,139000,TP30244_02
2608235QED370T,Blue Việt Nam,Kho Hà Nội,shopee,2026-08-23T22:09:38+07:00,1,Bột Tẩy Lồng Máy Giặt Blue 150g/gói Kháng Khuẩn Khử Mùi Tiện Lợi Tại Nhà Không Cần Gọi Thợ,1 Gói Lẻ 150g,0,TP32743
585693062880068730,Tẩy lồng máy giặt Blue,Miền Nam - Kho mặc định,tiktokshop,2026-08-23T22:07:05+07:00,1,"[MUA NHIỀU GIẢM SÂU] Bột Tẩy Lồng Máy Giặt Blue 150g - Làm Sạch Sâu, Khử Mùi Diệt Khuẩn Cho Máy Giặt Cửa Ngang & Cửa Đứng.",Combo 3 Túi (Bán chạy nhất - Đã giảm 35%),58999,SP000442
585693089594705081,Tẩy lồng máy giặt Blue,Miền Nam - Kho mặc định,tiktokshop,2026-08-23T22:05:40+07:00,1,"[MUA NHIỀU GIẢM SÂU] Bột Tẩy Lồng Máy Giặt Blue 150g - Làm Sạch Sâu, Khử Mùi Diệt Khuẩn Cho Máy Giặt Cửa Ngang & Cửa Đứng.",Combo 3 Túi (Bán chạy nhất - Đã giảm 35%),59000,SP000442
585693008436757577,CLEVY VIỆT NAM,Miền Nam - Kho mặc định,tiktokshop,2026-08-23T22:05:14+07:00,1,"Móc Treo Đa Năng Xoay 360° 6 Nhánh, Treo Đồ Lót, Khăn, Mũ Lưỡi Trai Và Phụ Kiện - MT01",2 cái (Ngẫu nhiên màu),29280,SKU_MT_2
585693057351844993,Tẩy lồng máy giặt Blue,Miền Nam - Kho mặc định,tiktokshop,2026-08-23T22:04:22+07:00,1,"[MUA NHIỀU GIẢM SÂU] Bột Tẩy Lồng Máy Giặt Blue 150g - Làm Sạch Sâu, Khử Mùi Diệt Khuẩn Cho Máy Giặt Cửa Ngang & Cửa Đứng.",Combo 2 Túi (Rẻ hơn mua lẻ 22%),45999,TP32743
585693004746753935,Tẩy lồng máy giặt Blue,Kho Hà Nội,tiktokshop,2026-08-23T22:03:02+07:00,1,"[MUA NHIỀU GIẢM SÂU] Bột Tẩy Lồng Máy Giặt Blue 150g - Làm Sạch Sâu, Khử Mùi Diệt Khuẩn Cho Máy Giặt Cửa Ngang & Cửa Đứng.",Combo 3 Túi (Bán chạy nhất - Đã giảm 35%),58999,SP000442
585692987039188984,Tẩy lồng máy giặt Blue,Kho Hà Nội,tiktokshop,2026-08-23T22:01:41+07:00,1,"[MUA NHIỀU GIẢM SÂU] Bột Tẩy Lồng Máy Giặt Blue 150g - Làm Sạch Sâu, Khử Mùi Diệt Khuẩn Cho Máy Giặt Cửa Ngang & Cửa Đứng.",Combo 3 Túi (Bán chạy nhất - Đã giảm 35%),58999,SP000442
585692996494067010,Tẩy lồng máy giặt Blue,Kho Hà Nội,tiktokshop,2026-08-23T21:56:26+07:00,1,"[MUA NHIỀU GIẢM SÂU] Bột Tẩy Lồng Máy Giặt Blue 150g - Làm Sạch Sâu, Khử Mùi Diệt Khuẩn Cho Máy Giặt Cửa Ngang & Cửa Đứng.",Combo 3 Túi (Bán chạy nhất - Đã giảm 35%),58999,SP000442
585692941483738254,CLEVY VIỆT NAM,Miền Nam - Kho mặc định,tiktokshop,2026-08-23T21:56:19+07:00,1,"Móc Treo Đa Năng Xoay 360° 6 Nhánh, Treo Đồ Lót, Khăn, Mũ Lưỡi Trai Và Phụ Kiện - MT01",2 cái (Ngẫu nhiên màu),29280,
585692841265301392,Tẩy lồng máy giặt Blue,Miền Nam - Kho mặc định,tiktokshop,2026-08-23T21:54:10+07:00,1,"[MUA NHIỀU GIẢM SÂU] Bột Tẩy Lồng Máy Giặt Blue 150g - Làm Sạch Sâu, Khử Mùi Diệt Khuẩn Cho Máy Giặt Cửa Ngang & Cửa Đứng.",Combo 3 Túi (Bán chạy nhất - Đã giảm 35%),58999,SP000442
585692855448340318,Tẩy lồng máy giặt Blue,Miền Nam - Kho mặc định,tiktokshop,2026-08-23T21:53:42+07:00,1,"[MUA NHIỀU GIẢM SÂU] Bột Tẩy Lồng Máy Giặt Blue 150g - Làm Sạch Sâu, Khử Mùi Diệt Khuẩn Cho Máy Giặt Cửa Ngang & Cửa Đứng.",1 TÚI (Không áp dụng Voucher Shop),29000,
585692959699928683,Tẩy lồng máy giặt Blue,Miền Nam - Kho mặc định,tiktokshop,2026-08-23T21:53:36+07:00,1,"[MUA NHIỀU GIẢM SÂU] Bột Tẩy Lồng Máy Giặt Blue 150g - Làm Sạch Sâu, Khử Mùi Diệt Khuẩn Cho Máy Giặt Cửa Ngang & Cửa Đứng.",Combo 3 Túi (Bán chạy nhất - Đã giảm 35%),58999,SP000442
585692852826113404,Tẩy lồng máy giặt Blue,Kho Hà Nội,tiktokshop,2026-08-23T21:51:06+07:00,1,"[MUA NHIỀU GIẢM SÂU] Bột Tẩy Lồng Máy Giặt Blue 150g - Làm Sạch Sâu, Khử Mùi Diệt Khuẩn Cho Máy Giặt Cửa Ngang & Cửa Đứng.",Combo 3 Túi (Bán chạy nhất - Đã giảm 35%),58999,SP000442
585692758941796081,Tẩy lồng máy giặt Blue,Miền Nam - Kho mặc định,tiktokshop,2026-08-23T21:47:33+07:00,1,"[MUA NHIỀU GIẢM SÂU] Bột Tẩy Lồng Máy Giặt Blue 150g - Làm Sạch Sâu, Khử Mùi Diệt Khuẩn Cho Máy Giặt Cửa Ngang & Cửa Đứng.",Combo 3 Túi (Bán chạy nhất - Đã giảm 35%),58999,SP000442
2608235P5ERHC6,Blue Việt Nam,Kho Hà Nội,shopee,2026-08-23T21:46:44+07:00,1,"[Combo 3] Bột Tẩy Lồng Máy Giặt BLUE 150G, Đánh Bay Cặn Bẩn, Khử Mùi, Diệt Vi Khuẩn, Tăng Tuổi Thọ Máy Giặt",,54000,SP000442
